                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 2.1066,                 1.3311,                 1.7459,                 2.4193,                0.57295,                0.78982,                  0.625,                0.23212,                0.63963,                 0.8357,                 0.7853,                0.43629,                 2.3873,                0.92024,                 1.6611,                  2.771,              0.0017591,              0.0017591,              0.0017591
                     76,                  2.286,                 1.3735,                 1.9126,                  2.607,                0.58268,                0.65749,                0.56012,                0.22136,                0.87267,                0.80708,                0.90596,                0.39129,                 2.3839,                 0.8811,                 2.0279,                  2.702,              0.0017558,              0.0017558,              0.0017558
                     77,                 2.1792,                 1.4644,                 1.9519,                 2.5226,                0.91362,                0.62338,                0.80819,                0.38646,                0.91362,                0.62338,                0.80819,                0.52021,                 2.2087,                0.95054,                 1.7982,                  2.644,              0.0017525,              0.0017525,              0.0017525
                     78,                 2.2199,                 1.3766,                 1.8865,                 2.5457,                0.89041,                0.58824,                0.78399,                0.34957,                0.89041,                0.58824,                0.78399,                0.53733,                  2.313,                0.99149,                 1.5476,                 2.6846,              0.0017492,              0.0017492,              0.0017492
                     79,                 2.1575,                 1.3397,                 1.7588,                 2.4224,                0.63431,                0.64706,                  0.741,                0.30805,                0.63431,                0.64706,                  0.741,                0.53095,                 2.4351,                0.99215,                  2.554,                 2.7624,              0.0017459,              0.0017459,              0.0017459
                     80,                 2.0889,                 1.4543,                 1.8417,                 2.5642,                0.74886,                0.76471,                 0.8253,                0.29012,                0.74886,                0.76471,                 0.8253,                0.58095,                 2.5433,                0.97116,                 3.7949,                 2.8892,              0.0017426,              0.0017426,              0.0017426
                     81,                 1.9849,                 1.3887,                 1.6743,                 2.4834,                0.63042,                0.70588,                0.76952,                0.29403,                0.63042,                0.70588,                0.76952,                0.52726,                 2.5305,                0.90577,                 3.7525,                 2.9731,              0.0017393,              0.0017393,              0.0017393
                     82,                 2.0541,                 1.4152,                 1.7419,                 2.4966,                0.79242,                0.64706,                0.81853,                0.25513,                0.79242,                0.64706,                0.81853,                0.53506,                 2.6391,                0.93601,                 2.9492,                 3.0488,               0.001736,               0.001736,               0.001736
                     83,                 2.0056,                 1.5679,                 1.9644,                  2.468,                0.49443,                0.58824,                0.56413,                0.10135,                0.61547,                0.82353,                0.79741,                0.31349,                 2.9186,                 1.0186,                 5.6806,                 3.4253,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.9746,                 1.2734,                   1.67,                 2.4583,                0.09074,                0.11765,                0.05983,                0.01308,                0.29738,                0.41176,                0.35707,                0.07707,                 2.8643,                 0.9623,                 5.5671,                  3.218,              0.0017294,              0.0017294,              0.0017294
                     85,                 2.0048,                  1.378,                 1.7519,                 2.4823,                0.24302,                0.29412,                0.30343,                0.06497,                0.42934,                0.57577,                 0.5273,                0.18167,                 2.8677,                0.84003,                 2.8534,                 3.0656,              0.0017261,              0.0017261,              0.0017261
                     86,                 1.9694,                   1.33,                 1.7018,                 2.4469,                0.63857,                0.58824,                0.63736,                0.25102,                0.63882,                0.64706,                0.70918,                0.46642,                 2.7402,                0.83997,                 2.1419,                 3.0016,              0.0017228,              0.0017228,              0.0017228
                     87,                 2.0181,                 1.2386,                 1.7286,                 2.5605,                0.68491,                0.70588,                0.73914,                0.35705,                0.68491,                0.70588,                0.73914,                0.53472,                 2.3039,                 0.8444,                 2.5873,                 2.6833,              0.0017195,              0.0017195,              0.0017195
                     88,                  1.916,                 1.1258,                 1.5798,                 2.4194,                0.62861,                0.99578,                0.82838,                0.39189,                0.62861,                0.99578,                0.82838,                0.57098,                 2.3078,                0.94604,                 2.1778,                 2.6647,              0.0017162,              0.0017162,              0.0017162
                     89,                  1.972,                 1.2221,                 1.6715,                 2.5103,                0.67945,                0.94118,                0.87657,                0.41316,                0.67945,                0.94118,                0.87657,                0.59037,                 2.2848,                 1.0032,                 1.6447,                  2.638,              0.0017129,              0.0017129,              0.0017129
                     90,                 1.9983,                 1.2519,                 1.6128,                 2.4259,                 0.8364,                0.88235,                0.91923,                0.43327,                 0.8364,                0.88235,                0.91923,                0.63027,                 2.2792,                0.78316,                 1.4678,                 2.6459,              0.0017096,              0.0017096,              0.0017096
                     91,                 2.0067,                 1.3199,                  1.583,                 2.3062,                 0.8364,                0.88235,                0.91923,                0.43327,                 0.8364,                0.88235,                0.91923,                0.63027,                 2.2792,                0.78316,                 1.4678,                 2.6459,              0.0017063,              0.0017063,              0.0017063
                     92,                 2.1547,                 1.5081,                 1.7775,                 2.5164,                0.34699,                0.87535,                0.36811,                0.14716,                0.41817,                0.76471,                0.62705,                0.28047,                  2.314,                0.88776,                 2.5547,                 2.7044,               0.001703,               0.001703,               0.001703
                     93,                 2.2506,                 1.4457,                 1.8206,                 2.5777,                 0.1946,                0.85298,                0.19329,                0.07272,                0.49175,                0.62669,                0.55834,                  0.176,                  2.459,                0.86606,                 3.7085,                 2.8689,              0.0016997,              0.0016997,              0.0016997
