                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.563,                 1.6992,                 1.1493,                 1.6814,                      1,                0.94964,                  0.995,                0.70173,                      1,                0.94964,                  0.995,                0.84584,                 1.2061,                 1.0442,                 1.0908,                0.92953,              0.0017921,              0.0017921,              0.0017921
                     66,                  1.313,                 1.5177,                 1.0072,                 1.5219,                      1,                0.94964,                  0.995,                0.70173,                      1,                0.94964,                  0.995,                0.84584,                 1.2061,                 1.0442,                 1.0908,                0.92953,              0.0017888,              0.0017888,              0.0017888
                     67,                 1.6696,                 1.5314,                 1.2297,                 1.7036,                      1,                0.94964,                  0.995,                0.70173,                      1,                0.94964,                  0.995,                0.84584,                 1.2061,                 1.0442,                 1.0908,                0.92953,              0.0017855,              0.0017855,              0.0017855
                     68,                 1.5894,                 1.6292,                 1.0741,                 1.7188,                0.97898,                      1,                  0.995,                0.63666,                0.97898,                      1,                  0.995,                  0.796,                 1.6012,                0.90382,                 1.0637,                 1.0436,              0.0017822,              0.0017822,              0.0017822
                     69,                 1.7254,                 1.6339,                 1.1577,                   1.73,                0.97898,                      1,                  0.995,                0.63666,                0.97898,                      1,                  0.995,                  0.796,                 1.6012,                0.90382,                 1.0637,                 1.0436,              0.0017789,              0.0017789,              0.0017789
                     70,                 1.6513,                 1.5226,                  1.135,                 1.7172,                0.97898,                      1,                  0.995,                0.63666,                0.97898,                      1,                  0.995,                  0.796,                 1.6012,                0.90382,                 1.0637,                 1.0436,              0.0017756,              0.0017756,              0.0017756
                     71,                 1.7428,                 1.5549,                 1.1558,                 1.6662,                0.51083,                      1,                0.82833,                 0.5503,                0.51083,                      1,                0.82833,                0.62132,                  1.681,                0.90145,                 1.2897,                 1.0765,              0.0017723,              0.0017723,              0.0017723
                     72,                 2.0778,                 1.6783,                 1.2982,                 1.8474,                0.51083,                      1,                0.82833,                 0.5503,                0.51083,                      1,                0.82833,                0.62132,                  1.681,                0.90145,                 1.2897,                 1.0765,               0.001769,               0.001769,               0.001769
                     73,                 1.5366,                 1.7226,                0.97398,                 1.6354,                0.55988,                      1,                0.82833,                0.56713,                0.55988,                      1,                0.82833,                0.63435,                 1.5681,                0.97321,                 1.5583,                 1.1331,              0.0017657,              0.0017657,              0.0017657
                     74,                 1.5475,                 1.5223,                 1.2858,                 1.6677,                0.55988,                      1,                0.82833,                0.56713,                0.55988,                      1,                0.82833,                0.63435,                 1.5681,                0.97321,                 1.5583,                 1.1331,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.5154,                 1.6433,                 1.1502,                 1.6332,                0.55988,                      1,                0.82833,                0.56713,                0.55988,                      1,                0.82833,                0.63435,                 1.5681,                0.97321,                 1.5583,                 1.1331,              0.0017591,              0.0017591,              0.0017591
                     76,                  1.524,                 1.5451,                 1.2282,                 1.6196,                 0.4659,                      1,                 0.4975,                0.36626,                 0.4659,                      1,                  0.745,                0.37277,                 1.4716,                 1.1008,                  1.745,                 1.0232,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.3586,                 1.5271,                 1.0777,                 1.5678,                 0.4659,                      1,                 0.4975,                0.36626,                 0.4659,                      1,                  0.745,                0.37277,                 1.4716,                 1.1008,                  1.745,                 1.0232,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.5292,                  1.549,                 1.2061,                 1.5689,                 0.4659,                      1,                 0.4975,                0.36626,                 0.4659,                      1,                  0.745,                0.37277,                 1.4716,                 1.1008,                  1.745,                 1.0232,              0.0017492,              0.0017492,              0.0017492
                     79,                 1.5249,                 1.3633,                  1.215,                 1.5781,                0.27257,                      1,                0.28429,                 0.1836,                0.73831,                    0.5,                0.66167,                0.24132,                 1.4808,                 1.2456,                 2.0281,                   1.03,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.4319,                 1.4973,                 1.2639,                 1.4458,                0.27257,                      1,                0.28429,                 0.1836,                0.73831,                    0.5,                0.66167,                0.24132,                 1.4808,                 1.2456,                 2.0281,                   1.03,              0.0017426,              0.0017426,              0.0017426
